Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"SmsFeedback_EFModels.Conversation.get_Messages()",971,45.95,45.95,18.50,18.50,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.Controller.ExecuteCore()",33,90.79,27.19,"1,075.48",322.11,"System.Web.Mvc.dll",
"System.Web.Security.Membership.ValidateUser(string,string)",2,8.53,8.53,"1,667.28","1,667.28","System.Web.dll",
"System.Web.Mvc.AreaRegistration.RegisterAllAreas()",1,3.84,3.84,"1,501.46","1,501.46","System.Web.Mvc.dll",
"System.Linq.Queryable.First(class System.Linq.IQueryable`1<!!0>)",28,3.55,3.55,49.59,49.59,"System.Core.dll",
"System.Linq.Queryable.Count(class System.Linq.IQueryable`1<!!0>)",10,2.31,2.31,90.44,90.44,"System.Core.dll",
"SmsFeedback_EFModels.WorkingPoint.get_Conversations()",42,2.11,2.11,19.65,19.65,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.Tag.get_TagTagTypes()",25,1.45,1.45,22.73,22.73,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.FirstOrDefault(class System.Linq.IQueryable`1<!!0>)",2,1.02,1.02,198.47,198.47,"System.Core.dll",
"SmsFeedback_EFModels.smsfeedbackEntities..ctor()",28,0.54,0.54,7.47,7.47,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.Where(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",30,0.46,0.46,5.98,5.98,"System.Core.dll",
"SmsFeedback_EFModels.User.get_Company()",2,0.35,0.35,68.73,68.73,"SmsFeedback_EFModels.dll",
"System.Web.Security.FormsAuthentication.SetAuthCookie(string,bool)",1,0.29,0.29,114.27,114.27,"System.Web.dll",
"SmsFeedback_EFModels.Company.get_SubscriptionDetail()",2,0.26,0.26,51.07,51.07,"SmsFeedback_EFModels.dll",
"System.Resources.ResourceManager.GetString(string,class System.Globalization.CultureInfo)",199,0.23,0.23,0.45,0.45,"mscorlib.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",2,0.88,0.22,171.39,42.30,"System.Web.Mvc.dll",
"SmsFeedback_EFModels.Company.get_Tags()",1,0.18,0.18,69.97,69.97,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.TagTagType.get_TagType()",2,0.15,0.15,28.96,28.96,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.Html.InputExtensions.TextBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",2,0.12,0.12,23.75,23.38,"System.Web.Mvc.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",18,0.13,0.10,5.20,2.20,"System.Web.dll",
"System.Data.Entity.Infrastructure.SqlConnectionFactory..ctor(string)",1,0.08,0.08,31.61,31.61,"EntityFramework.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",8,0.32,0.08,63.04,3.84,"System.Web.dll",
"System.Web.Mvc.Html.FormExtensions.BeginForm(class System.Web.Mvc.HtmlHelper)",2,0.08,0.08,14.68,14.68,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.GetConversationsForNumbers(bool,string[],string[],valuetype System.Nullable`1<valuetype System.DateTime>,valuetype System.Nullable`1<valuetype System.DateTime>,bool,int32,int32,valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",1,0.68,0.06,267.43,23.95,"SmsFeedback_Take4.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,0.23,0.06,91.53,22.01,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.RenderPartialExtensions.RenderPartial(class System.Web.Mvc.HtmlHelper,string)",2,0.05,0.05,10.00,8.95,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Utilities.EFInteraction.GetCompanySubscriptionSMSStatus(string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,1.94,0.04,378.34,7.73,"SmsFeedback_Take4.dll",
"System.Web.Mvc.RouteCollectionExtensions.IgnoreRoute(class System.Web.Routing.RouteCollection,string,object)",1,0.04,0.04,15.45,15.40,"System.Web.Mvc.dll",
"System.Web.Mvc.UrlHelper.RouteUrl(string,class System.Web.Routing.RouteValueDictionary)",16,0.04,0.04,0.89,0.89,"System.Web.Mvc.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,0.07,0.03,28.41,10.19,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.InputExtensions.CheckBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",2,0.02,0.02,4.25,4.25,"System.Web.Mvc.dll",
