Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
SmsFeedback_EFModels.Conversation.get_Messages(),"1,528",47.25,47.25,17.77,17.77,SmsFeedback_EFModels.dll
System.Web.Mvc.Controller.ExecuteCore(),44,93.21,19.62,"1,217.00",256.13,System.Web.Mvc.dll
SmsFeedback_EFModels.Conversation.get_Client(),280,8.89,8.89,18.23,18.23,SmsFeedback_EFModels.dll
"System.Web.Security.Membership.ValidateUser(string,string)",1,5.29,5.29,"3,040.57","3,040.57",System.Web.dll
SmsFeedback_EFModels.Conversation.get_ConversationEvents(),79,2.97,2.97,21.62,21.62,SmsFeedback_EFModels.dll
System.Linq.Queryable.First(class System.Linq.IQueryable`1<!!0>),38,2.95,2.95,44.56,44.56,System.Core.dll
System.Web.Mvc.AreaRegistration.RegisterAllAreas(),1,2.69,2.69,"1,543.34","1,543.34",System.Web.Mvc.dll
SmsFeedback_EFModels.WorkingPoint.get_Conversations(),74,2.26,2.26,17.53,17.53,SmsFeedback_EFModels.dll
System.Linq.Queryable.Count(class System.Linq.IQueryable`1<!!0>),10,2.01,2.01,115.21,115.21,System.Core.dll
SmsFeedback_EFModels.Tag.get_TagTagTypes(),31,1.07,1.07,19.82,19.82,SmsFeedback_EFModels.dll
System.Linq.Queryable.FirstOrDefault(class System.Linq.IQueryable`1<!!0>),2,0.93,0.93,267.27,267.27,System.Core.dll
SmsFeedback_EFModels.Conversation.get_ConversationTags(),18,0.76,0.76,24.4,24.4,SmsFeedback_EFModels.dll
"System.Linq.Queryable.Where(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",40,0.65,0.65,9.35,9.35,System.Core.dll
SmsFeedback_EFModels.smsfeedbackEntities..ctor(),40,0.41,0.41,5.84,5.84,SmsFeedback_EFModels.dll
SmsFeedback_EFModels.Company.get_SubscriptionDetail(),2,0.23,0.23,65.45,65.45,SmsFeedback_EFModels.dll
SmsFeedback_EFModels.User.get_Company(),2,0.2,0.2,56.53,56.53,SmsFeedback_EFModels.dll
System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext),1,0.65,0.19,375.46,108.87,System.Web.Mvc.dll
SmsFeedback_EFModels.TagTagType.get_TagType(),4,0.16,0.16,22.77,22.77,SmsFeedback_EFModels.dll
"System.Resources.ResourceManager.GetString(string,class System.Globalization.CultureInfo)",306,0.15,0.15,0.29,0.29,mscorlib.dll
SmsFeedback_EFModels.ConversationTag.get_Tag(),10,0.14,0.14,8.27,8.27,SmsFeedback_EFModels.dll
SmsFeedback_EFModels.Company.get_Tags(),1,0.1,0.1,59.61,59.61,SmsFeedback_EFModels.dll
System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter),4,0.25,0.09,145.81,12.96,System.Web.dll
"System.Web.Mvc.Html.InputExtensions.TextBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",1,0.08,0.08,45.28,44.45,System.Web.Mvc.dll
System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter),18,0.09,0.07,5.45,2.3,System.Web.dll
System.Data.Entity.Infrastructure.SqlConnectionFactory..ctor(string),1,0.07,0.07,38.67,38.67,EntityFramework.dll
"System.Web.Security.FormsAuthentication.SetAuthCookie(string,bool)",1,0.06,0.06,33.94,33.94,System.Web.dll
System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext),1,0.17,0.04,98.22,24.21,System.Web.Mvc.dll
System.Web.Mvc.Html.FormExtensions.BeginForm(class System.Web.Mvc.HtmlHelper),1,0.04,0.04,20.64,20.64,System.Web.Mvc.dll
"System.Web.Mvc.Html.RenderPartialExtensions.RenderPartial(class System.Web.Mvc.HtmlHelper,string)",2,0.04,0.03,10.92,9.83,System.Web.Mvc.dll
"System.Web.Mvc.RouteCollectionExtensions.IgnoreRoute(class System.Web.Routing.RouteCollection,string,object)",1,0.03,0.03,18.82,18.75,System.Web.Mvc.dll
"SmsFeedback_Take4.Models.EFSmsRepository.GetConversationsForNumbers(bool,string[],string[],valuetype System.Nullable`1<valuetype System.DateTime>,valuetype System.Nullable`1<valuetype System.DateTime>,bool,int32,int32,valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",1,0.37,0.03,213.65,17.92,SmsFeedback_Take4.dll
System.Linq.Enumerable.Count(class System.Collections.Generic.IEnumerable`1<!!0>),"1,289",0.04,0.03,0.02,0.01,System.Core.dll
"System.Web.Mvc.UrlHelper.RouteUrl(string,class System.Web.Routing.RouteValueDictionary)",12,0.03,0.03,1.27,1.27,System.Web.Mvc.dll
System.Collections.IEnumerator.MoveNext(),"2,356",2.09,0.03,0.51,0.01,mscorlib.dll
System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext),1,0.05,0.02,30.22,10.96,System.Web.Mvc.dll
"System.Linq.Queryable.Select(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>)",38,0.02,0.02,0.28,0.28,System.Core.dll
"System.Web.Mvc.Html.InputExtensions.CheckBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",1,0.02,0.02,9.33,9.32,System.Web.Mvc.dll
