Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"System.Web.Mvc.Controller.ExecuteCore()",17,77.47,47.21,971.16,591.78,"System.Web.Mvc.dll",
"System.Web.Security.Membership.ValidateUser(string,string)",1,17.87,17.87,"3,808.82","3,808.82","System.Web.dll",
"System.Web.Mvc.AreaRegistration.RegisterAllAreas()",1,7.51,7.51,"1,601.36","1,601.36","System.Web.Mvc.dll",
"SmsFeedback_EFModels.Tag.get_TagTagTypes()",67,6.63,6.63,21.09,21.09,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.First(class System.Linq.IQueryable`1<!!0>)",14,5.25,5.25,79.86,79.86,"System.Core.dll",
"System.Linq.Queryable.Count(class System.Linq.IQueryable`1<!!0>)",10,4.50,4.50,95.95,95.95,"System.Core.dll",
"System.Linq.Queryable.FirstOrDefault(class System.Linq.IQueryable`1<!!0>)",2,2.03,2.03,216.13,216.13,"System.Core.dll",
"SmsFeedback_EFModels.smsfeedbackEntities..ctor()",14,1.28,1.28,19.45,19.45,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.Where(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",17,1.12,1.12,14.05,14.05,"System.Core.dll",
"SmsFeedback_EFModels.Company.get_SubscriptionDetail()",2,0.75,0.75,79.44,79.44,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.User.get_Company()",2,0.65,0.65,69.37,69.37,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,1.96,0.56,416.82,119.50,"System.Web.Mvc.dll",
"System.Resources.ResourceManager.GetString(string,class System.Globalization.CultureInfo)",136,0.48,0.48,0.75,0.75,"mscorlib.dll",
"System.Collections.IEnumerator.MoveNext()",61,0.43,0.43,1.51,1.51,"mscorlib.dll",
"SmsFeedback_EFModels.Company.get_Tags()",1,0.42,0.42,89.57,89.57,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.TagTagType.get_TagType()",2,0.29,0.29,31.09,31.09,"SmsFeedback_EFModels.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",4,0.78,0.27,165.82,14.13,"System.Web.dll",
"System.Web.Mvc.Html.InputExtensions.TextBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",1,0.23,0.22,48.70,47.94,"System.Web.Mvc.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",18,0.27,0.21,5.78,2.45,"System.Web.dll",
"System.Linq.Enumerable.Count(class System.Collections.Generic.IEnumerable`1<!!0>)",8,0.17,0.17,4.57,4.56,"System.Core.dll",
"System.Web.Security.FormsAuthentication.SetAuthCookie(string,bool)",1,0.17,0.17,35.81,35.81,"System.Web.dll",
"System.Data.Entity.Infrastructure.SqlConnectionFactory..ctor(string)",1,0.15,0.15,32.57,32.57,"EntityFramework.dll",
"System.Collections.Generic.IEnumerable`1.GetEnumerator()",1,0.13,0.13,27.53,27.53,"mscorlib.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,0.49,0.13,104.23,26.68,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.FormExtensions.BeginForm(class System.Web.Mvc.HtmlHelper)",1,0.11,0.11,23.86,23.86,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.RenderPartialExtensions.RenderPartial(class System.Web.Mvc.HtmlHelper,string)",2,0.11,0.10,11.66,10.49,"System.Web.Mvc.dll",
"System.Web.Mvc.RouteCollectionExtensions.IgnoreRoute(class System.Web.Routing.RouteCollection,string,object)",1,0.08,0.08,17.29,17.24,"System.Web.Mvc.dll",
