Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"System.Web.Mvc.Controller.ExecuteCore()",21,76.38,45.53,850.92,507.30,"System.Web.Mvc.dll",
"System.Web.Security.Membership.ValidateUser(string,string)",1,15.40,15.40,"3,604.06","3,604.06","System.Web.dll",
"System.Web.Mvc.AreaRegistration.RegisterAllAreas()",1,8.57,8.57,"2,005.20","2,005.20","System.Web.Mvc.dll",
"SmsFeedback_EFModels.Tag.get_TagTagTypes()",67,6.51,6.51,22.72,22.72,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.Count(class System.Linq.IQueryable`1<!!0>)",10,5.30,5.30,124.10,124.10,"System.Core.dll",
"System.Linq.Queryable.First(class System.Linq.IQueryable`1<!!0>)",15,5.01,5.01,78.10,78.10,"System.Core.dll",
"System.Linq.Queryable.FirstOrDefault(class System.Linq.IQueryable`1<!!0>)",2,2.49,2.49,291.58,291.58,"System.Core.dll",
"SmsFeedback_EFModels.Conversation.get_Messages()",18,1.93,1.93,25.06,25.06,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.Where(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",17,1.86,1.86,25.62,25.62,"System.Core.dll",
"SmsFeedback_EFModels.smsfeedbackEntities..ctor()",17,1.05,1.05,14.46,14.46,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.WorkingPoint.get_Conversations()",4,0.54,0.54,31.82,31.82,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",2,2.01,0.52,235.52,61.35,"System.Web.Mvc.dll",
"SmsFeedback_EFModels.User.get_Company()",2,0.51,0.51,60.19,60.19,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.Company.get_SubscriptionDetail()",2,0.48,0.48,55.66,55.66,"SmsFeedback_EFModels.dll",
"System.Resources.ResourceManager.GetString(string,class System.Globalization.CultureInfo)",190,0.46,0.46,0.57,0.57,"mscorlib.dll",
"SmsFeedback_EFModels.Company.get_Tags()",1,0.41,0.41,94.96,94.96,"SmsFeedback_EFModels.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",8,0.85,0.36,99.96,10.57,"System.Web.dll",
"SmsFeedback_EFModels.TagTagType.get_TagType()",2,0.33,0.33,38.62,38.62,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.Html.InputExtensions.TextBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",2,0.23,0.23,27.38,26.96,"System.Web.Mvc.dll",
"System.Web.UI.Control.RenderControl(class System.Web.UI.HtmlTextWriter)",18,0.26,0.20,6.12,2.57,"System.Web.dll",
"System.Web.Security.FormsAuthentication.SetAuthCookie(string,bool)",1,0.17,0.17,40.22,40.22,"System.Web.dll",
"System.Data.Entity.Infrastructure.SqlConnectionFactory..ctor(string)",1,0.15,0.15,35.70,35.70,"EntityFramework.dll",
"log4net.ILog.Info(object)",10,0.14,0.14,3.21,3.21,"log4net.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,0.49,0.13,114.87,30.20,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.FormExtensions.BeginForm(class System.Web.Mvc.HtmlHelper)",2,0.12,0.12,14.29,14.29,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.GetConversationsForNumbers(bool,string[],string[],valuetype System.Nullable`1<valuetype System.DateTime>,valuetype System.Nullable`1<valuetype System.DateTime>,bool,int32,int32,valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",1,0.86,0.11,201.46,24.63,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Html.RenderPartialExtensions.RenderPartial(class System.Web.Mvc.HtmlHelper,string)",2,0.11,0.10,13.02,11.39,"System.Web.Mvc.dll",
"System.Web.Mvc.UrlHelper.RouteUrl(string,class System.Web.Routing.RouteValueDictionary)",16,0.08,0.08,1.18,1.18,"System.Web.Mvc.dll",
"System.Web.Mvc.RouteCollectionExtensions.IgnoreRoute(class System.Web.Routing.RouteCollection,string,object)",1,0.08,0.08,18.04,17.98,"System.Web.Mvc.dll",
"System.Linq.Queryable.Select(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>)",15,0.06,0.06,0.94,0.94,"System.Core.dll",
"System.DateTime.ParseExact(string,string,class System.IFormatProvider)",4,0.05,0.05,3.16,3.16,"mscorlib.dll",
"SmsFeedback_EFModels.Message.get_TimeReceived()",636,0.05,0.05,0.02,0.02,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.Html.InputExtensions.CheckBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",2,0.05,0.05,5.35,5.34,"System.Web.Mvc.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,0.14,0.04,32.00,10.18,"System.Web.Mvc.dll",
"System.Web.Mvc.ViewPage`1..ctor()",2,0.04,0.04,4.79,4.79,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetReportOverviewData(string,string,string,string)",2,3.12,0.03,364.78,3.92,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.GetWorkingPointsPerUser(string,class SmsFeedback_EFModels.smsfeedbackEntities)",5,4.54,0.03,212.40,1.44,"SmsFeedback_Take4.dll",
"System.Linq.Enumerable.ToDictionary(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>,class System.Func`2<!!0,!!2>)",2,0.04,0.03,4.20,2.97,"System.Core.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.NrOfUnreadConversations(string,class SmsFeedback_EFModels.smsfeedbackEntities)",3,0.61,0.02,47.82,1.85,"SmsFeedback_Take4.dll",
"System.Collections.IEnumerator.MoveNext()",85,0.07,0.02,0.20,0.06,"mscorlib.dll",
"System.Web.UI.IParserAccessor.AddParsedSubObject(object)",8,0.02,0.02,0.55,0.55,"System.Web.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.GetSpecialTags(string,class SmsFeedback_EFModels.smsfeedbackEntities)",1,2.91,0.02,681.61,4.14,"SmsFeedback_Take4.dll",
"System.Linq.Expressions.Expression.Lambda(class System.Linq.Expressions.Expression,class System.Linq.Expressions.ParameterExpression[])",54,0.02,0.02,0.08,0.08,"System.Core.dll",
"System.Text.RegularExpressions.Regex.Replace(string,string)",2,0.02,0.02,2.01,2.01,"System.dll",
"System.Linq.Enumerable.Select(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",95,0.02,0.02,0.04,0.04,"System.Core.dll",
"SmsFeedback_Take4.Utilities.EFInteraction.GetCompanySubscriptionSMSStatus(string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,4.50,0.02,526.81,1.96,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Utilities.EFInteraction.GetXmppConnectionDetailsPerUser(string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,2.64,0.02,309.29,1.86,"SmsFeedback_Take4.dll",
"System.Web.Mvc.AjaxRequestExtensions.IsAjaxRequest(class System.Web.HttpRequestBase)",8,0.02,0.02,0.46,0.46,"System.Web.Mvc.dll",
"System.Web.Mvc.UrlHelper.Content(string)",73,0.02,0.02,0.05,0.05,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Utilities.EFInteraction.GetWorkingPointsForAUser(string,string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,0.42,0.02,48.67,1.79,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Html.InputExtensions.PasswordFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",2,0.02,0.02,1.80,1.78,"System.Web.Mvc.dll",
"System.Web.HttpServerUtility.MapPath(string)",73,0.01,0.01,0.05,0.05,"System.Web.dll",
"System.Web.Mvc.Html.ValidationExtensions.ValidationMessageFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>)",4,0.01,0.01,0.84,0.84,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetReportById(int32)",2,0.02,0.01,2.23,1.67,"SmsFeedback_Take4.dll",
"System.Linq.Expressions.Expression.Property(class System.Linq.Expressions.Expression,class System.Reflection.MethodInfo)",12,0.01,0.01,0.25,0.25,"System.Core.dll",
"System.Linq.Enumerable.Count(class System.Collections.Generic.IEnumerable`1<!!0>)",9,0.01,0.01,0.32,0.31,"System.Core.dll",
"System.Web.Mvc.Html.ValidationExtensions.ValidationSummary(class System.Web.Mvc.HtmlHelper,bool,string)",2,0.01,0.01,1.40,1.40,"System.Web.Mvc.dll",
"System.Web.UI.Control.SetTraceData(object,object)",8,0.01,0.01,0.32,0.32,"System.Web.dll",
"System.IO.File.GetLastWriteTime(string)",73,0.01,0.01,0.03,0.03,"mscorlib.dll",
"System.DateTime.ToLongDateString()",2,0.01,0.01,1.22,1.22,"mscorlib.dll",
"System.Reflection.FieldInfo.GetFieldFromHandle(valuetype System.RuntimeFieldHandle)",29,0.01,0.01,0.08,0.08,"mscorlib.dll",
"System.Web.Mvc.RouteCollectionExtensions.MapRoute(class System.Web.Routing.RouteCollection,string,string,object)",2,0.01,0.01,1.21,1.20,"System.Web.Mvc.dll",
"SmsFeedback_EFModels.SubscriptionDetail.WarningsRequired()",2,0.01,0.01,1.04,1.04,"SmsFeedback_EFModels.dll",
"System.Linq.Expressions.Expression.Equal(class System.Linq.Expressions.Expression,class System.Linq.Expressions.Expression,bool,class System.Reflection.MethodInfo)",17,0.01,0.01,0.12,0.12,"System.Core.dll",
"SmsFeedback_Take4.Controllers.ReportsController.<InitializeInterval>b__127(valuetype System.DateTime)",64,0.01,0.01,0.04,0.03,"SmsFeedback_Take4.dll",
"System.Web.HttpResponseBase.SetCookie(class System.Web.HttpCookie)",21,0.01,0.01,0.09,0.09,"System.Web.dll",
"SmsFeedback_Take4.MvcApplication.Application_Start()",1,8.84,0.01,"2,068.09",1.80,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.ImageLink(class System.Web.Mvc.HtmlHelper,string,string,object,object,string,bool)",16,0.10,0.01,1.40,0.11,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Html.LabelExtensions.LabelFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>)",2,0.01,0.01,0.87,0.87,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetReportsMenuItems()",1,0.01,0.01,2.00,1.74,"SmsFeedback_Take4.dll",
"SmsFeedback_EFModels.SubscriptionDetail.GetNextBillingDate(valuetype System.DateTime)",2,0.01,0.01,0.86,0.86,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.RouteCollectionExtensions.MapRoute(class System.Web.Routing.RouteCollection,string,string,object,object)",1,0.01,0.01,1.77,1.67,"System.Web.Mvc.dll",
"ASP.views_shared_site_master.__BuildControlTree(class ASP.views_shared_site_master)",2,0.03,0.01,3.22,0.82,"App_Web_t5it0hly.dll",
"System.Text.RegularExpressions.Regex..ctor(string,valuetype System.Text.RegularExpressions.RegexOptions)",73,0.01,0.01,0.02,0.02,"System.dll",
"System.Web.Mvc.AuthorizeAttribute.set_Roles(string)",7,0.01,0.01,0.23,0.23,"System.Web.Mvc.dll",
"System.Web.UI.MasterPage.InstantiateInContentPlaceHolder(class System.Web.UI.Control,class System.Web.UI.ITemplate)",10,0.01,0.01,0.20,0.15,"System.Web.dll",
"System.Linq.Queryable.AsQueryable(class System.Collections.Generic.IEnumerable`1<!!0>)",2,0.01,0.01,0.76,0.76,"System.Core.dll",
"System.Linq.Enumerable.OrderByDescending(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",1,0.01,0.01,1.48,1.48,"System.Core.dll",
"System.Web.UI.IAttributeAccessor.SetAttribute(string,string)",8,0.01,0.01,0.17,0.17,"System.Web.dll",
"System.Web.Mvc.Html.LinkExtensions.ActionLink(class System.Web.Mvc.HtmlHelper,string,string,string)",2,0.01,0.01,0.64,0.64,"System.Web.Mvc.dll",
"System.IO.TextWriter.Write(string)",112,0.01,0.01,0.01,0.01,"mscorlib.dll",
"System.Web.HttpCookie..ctor(string,string)",21,0.01,0.01,0.06,0.06,"System.Web.dll",
"ASP.views_shared_site_master.__BuildControl__control2()",2,0.02,0.01,1.76,0.63,"App_Web_t5it0hly.dll",
"System.Data.Entity.Database.set_DefaultConnectionFactory(class System.Data.Entity.Infrastructure.IDbConnectionFactory)",1,0.01,0.01,1.25,1.25,"EntityFramework.dll",
"System.Web.Mvc.Html.LinkExtensions.ActionLink(class System.Web.Mvc.HtmlHelper,string,string,string,object,object)",1,0.01,0.01,1.19,1.17,"System.Web.Mvc.dll",
"System.Data.Entity.DbContext.Dispose()",17,0.00,0.00,0.07,0.07,"EntityFramework.dll",
"System.Web.Mvc.ViewUserControl.get_Html()",2,0.00,0.00,0.53,0.53,"System.Web.Mvc.dll",
