Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"SmsFeedback_EFModels.Conversation.get_Messages()",832,39.14,39.14,16.65,16.65,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.Controller.ExecuteCore()",30,89.29,31.15,"1,053.40",367.53,"System.Web.Mvc.dll",
"System.Web.Security.Membership.ValidateUser(string,string)",1,8.64,8.64,"3,056.94","3,056.94","System.Web.dll",
"System.Web.Mvc.AreaRegistration.RegisterAllAreas()",1,4.58,4.58,"1,621.73","1,621.73","System.Web.Mvc.dll",
"System.Linq.Queryable.First(class System.Linq.IQueryable`1<!!0>)",26,3.78,3.78,51.48,51.48,"System.Core.dll",
"System.Linq.Queryable.Count(class System.Linq.IQueryable`1<!!0>)",13,3.22,3.22,87.80,87.80,"System.Core.dll",
"SmsFeedback_EFModels.WorkingPoint.get_Conversations()",32,1.70,1.70,18.76,18.76,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.Tag.get_TagTagTypes()",25,1.51,1.51,21.40,21.40,"SmsFeedback_EFModels.dll",
"System.Linq.Queryable.FirstOrDefault(class System.Linq.IQueryable`1<!!0>)",2,1.35,1.35,238.06,238.06,"System.Core.dll",
"System.Linq.Queryable.Where(class System.Linq.IQueryable`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",34,1.04,1.04,10.77,10.77,"System.Core.dll",
"SmsFeedback_EFModels.smsfeedbackEntities..ctor()",29,0.58,0.58,7.07,7.07,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.User.get_Company()",2,0.35,0.35,61.60,61.60,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.Company.get_SubscriptionDetail()",2,0.30,0.30,52.50,52.50,"SmsFeedback_EFModels.dll",
"System.Resources.ResourceManager.GetString(string,class System.Globalization.CultureInfo)",181,0.27,0.27,0.54,0.54,"mscorlib.dll",
"System.Web.Mvc.ViewPage.ProcessRequest(class System.Web.HttpContext)",1,0.96,0.23,338.09,82.56,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Utilities.EFInteraction.GetCompanySubscriptionSMSStatus(string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,2.62,0.20,462.89,35.87,"SmsFeedback_Take4.dll",
"SmsFeedback_EFModels.Company.get_Tags()",1,0.19,0.19,66.60,66.60,"SmsFeedback_EFModels.dll",
"SmsFeedback_EFModels.TagTagType.get_TagType()",2,0.17,0.17,30.13,30.13,"SmsFeedback_EFModels.dll",
"System.Web.Mvc.Html.InputExtensions.TextBoxFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>,object)",1,0.13,0.13,47.13,46.38,"System.Web.Mvc.dll",
